Model,Degree,MSE,R² Train,R² Test,param
Simple_linear_Regression,0,70845549.9567965,,,
Polynomial_features_corrected,1,70845549.9567965,0.5211152528058898,0.523213283865323,
Polynomial_features_corrected,2,61770387.9998944,0.5918868718525315,0.5842886325705043,
Polynomial_features_corrected,3,461779981.2681259,0.6486880470945566,-2.1077542764482504,
Polynomial_features_corrected_Kfold,3,61770387.99989303,0.5918868718525316,0.5842886325705136,
Polynomial_features_corrected_Kfold,3,61291422.25971311,0.5921070169561223,0.5874206293606594,
Polynomial_features_corrected_Kfold,3,62186261.98912782,0.5928200316874788,0.5850278782427604,
Polynomial_features_corrected_Kfold,3,60832585.58955245,0.5913366995086387,0.5923359274343367,
Polynomial_features_corrected_Kfold,3,61128453.68389188,0.592192734689954,0.5894681405454174,
PCA_Polynomial_features,1,82177822.15180814,0.4500260508325884,0.4481029356906536,
PCA_Polynomial_features,2,63138242.061881594,0.5795724533477362,0.575970626536753,
Ridge_Polynomial_features,2,61897274.95091024,0.5917367278968233,0.5834346902589255,
Ridge_Polynomial_features,2,61897274.95091024,0.5917367278968233,0.5834346902589255,
GridSearchCV_Ridge,2,61773513.92603099,0.5918867326762716,0.5842675952568205,{'regressor__alpha': 0.01}
GridSearchCV_Ridge,2,61798232.96021878,0.5918769746931744,0.5841012374948495,{'regressor__alpha': 0.1}
GridSearchCV_Ridge,2,61897274.95091024,0.5917367278968233,0.5834346902589255,{'regressor__alpha': 1.0}
GridSearchCV_Ridge,2,61954082.22812926,0.5915885240283941,0.5830523803583837,{'regressor__alpha': 10.0}
GridSearchCV_Ridge,2,61925822.53107175,0.5915412033166376,0.5832425665898016,{'regressor__alpha': 100.0}
GridSearchCV_Ridge,2,61894175.26905112,0.5909475346473684,0.5834555509500425,{'regressor__alpha': 1000.0}
Lasso_Polynomial_features,2,61827813.84981613,0.591547463573034,0.5839021597091585,
GridSearchCV_Lasso,2,61929726.46155558,0.5915729059377202,0.5832162933489765,{'regressor__alpha': 0.1}
GridSearchCV_Lasso,2,61828366.76359778,0.591546573035336,0.5838984386293389,{'regressor__alpha': 1.0}
GridSearchCV_Lasso,2,61249539.364906944,0.5904635913742542,0.5877939156889266,{'regressor__alpha': 10.0}
GridSearchCV_Lasso,2,64491510.131694175,0.56604627730802,0.5659756279257047,{'regressor__alpha': 100.0}
GridSearchCV_Lasso,2,75904922.27670954,0.4865284885880269,0.4891639820307676,{'regressor__alpha': 1000.0}
